Frequency [Hz]	[A] Frequency Response 2 (Amplitude) [mm]
0	2.17E-02
1.8695	2.30E-02
1.952	2.31E-02
1.956	2.31E-02
1.9562	2.31E-02
1.9564	2.31E-02
1.9605	2.31E-02
2.047	2.32E-02
3.9125	2.87E-02
3.9141	2.87E-02
5.6115	4.57E-02
5.8593	5.20E-02
5.8714	4.96E-02
5.8719	4.95E-02
5.8725	4.94E-02
5.8846	4.67E-02
6.1445	4.98E-02
6.4381	6.00E-02
6.6936	7.14E-02
6.9892	9.13E-02
7.0036	9.25E-02
7.0043	9.26E-02
7.005	9.27E-02
7.0193	9.40E-02
7.3294	0.13588
7.4922	0.17855
7.6261	0.24146
7.9629	1.0523
7.9793	1.0742
7.9801	1.0742
7.9809	1.074
7.9973	1.0479
8.3505	0.2211
9.4724	5.25E-02
10.478	2.94E-02
10.941	2.42E-02
10.964	2.43E-02
10.965	2.43E-02
10.966	2.43E-02
10.988	2.43E-02
11.474	2.04E-02
11.904	1.76E-02
12.274	1.57E-02
12.816	1.35E-02
12.843	1.34E-02
12.844	1.34E-02
12.845	1.34E-02
12.872	1.33E-02
13.44	1.15E-02
16.596	5.64E-03
19.446	1.52E-03
20.304	1.85E-03
20.346	2.07E-03
20.348	2.08E-03
20.35	2.10E-03
20.392	2.34E-03
20.449	2.68E-03
20.506	3.02E-03
20.549	3.28E-03
20.551	3.29E-03
20.553	3.30E-03
20.595	3.57E-03
21.046	9.94E-03
21.496	3.32E-02
21.54	3.48E-02
21.542	3.48E-02
21.544	3.49E-02
21.589	3.49E-02
22.542	1.10E-02
25.483	4.90E-03
28.118	3.70E-03
29.36	3.42E-03
29.421	3.35E-03
29.424	3.35E-03
29.427	3.34E-03
29.487	3.26E-03
29.565	3.15E-03
29.643	3.04E-03
29.704	2.95E-03
29.707	2.94E-03
29.71	2.94E-03
29.771	2.85E-03
30.019	2.70E-03
30.265	2.68E-03
30.327	2.68E-03
30.33	2.68E-03
30.333	2.68E-03
30.395	2.67E-03
31.738	2.42E-03
32.491	2.23E-03
33.114	2.04E-03
34.577	1.46E-03
34.648	1.43E-03
34.651	1.42E-03
34.654	1.42E-03
34.726	1.39E-03
36.259	6.66E-04
36.314	7.27E-04
37.895	1.40E-02
37.972	1.49E-02
37.976	1.50E-02
37.98	1.50E-02
38.058	1.53E-02
38.526	1.11E-02
38.991	8.02E-03
39.071	7.54E-03
39.075	7.52E-03
39.079	7.49E-03
39.116	7.26E-03
39.153	7.03E-03
39.157	7.01E-03
39.161	6.98E-03
39.241	6.52E-03
40.974	4.26E-03
46.535	3.27E-03
50	3.23E-03
